model,name,item_category,price_eur,discount
B100A1,SuperDuperBike,bike,100,none
R200X2,RocketSkates,skates,75,10%
T300Y3,ThunderTennisRacket,tennis,120,none
F400Z4,FireFootball,football,45,5%
S500W5,SwiftSwimGoggles,swimming,30,none
H600V6,HyperHelmet,cycling,90,15%
C700U7,ChampionCricketBat,cricket,110,none
G800T8,GlideGolfClub,golf,200,20%
A900S9,AceAthleticShoes,running,85,none
Y100R10,YogaMatPro,yoga,50,none
B110A2,BlazeBike,bike,150,10%
R210X3,RollingRollerblades,skates,80,none
T310Y4,TornadoTennisBall,tennis,10,5%
F410Z5,FlameFootballBoots,football,65,none
S510W6,StealthSwimCap,swimming,15,none
H610V7,HurricaneHelmet,cycling,95,10%
C710U8,ChampionCricketGloves,cricket,40,none
G810T9,GlideGolfBag,golf,150,15%
A910S10,AceAthleticShorts,running,35,none
Y110R11,YogaBlock,yoga,20,none
B120A3,BlazeMountainBike,bike,300,20%
R220X4,RocketRollerSkates,skates,70,none
T320Y5,ThunderTennisBag,tennis,60,none
F420Z6,FireFootballGloves,football,25,5%
S520W7,SwiftSwimFins,swimming,55,none
H620V8,HyperCyclingGloves,cycling,30,none
C720U9,ChampionCricketHelmet,cricket,75,10%
G820T10,GlideGolfBalls,golf,20,none
A920S11,AceAthleticSocks,running,15,none
Y120R12,YogaStrap,yoga,10,none
B130A4,BlazeRoadBike,bike,250,15%
R230X5,RollerProSkates,skates,85,none
T330Y6,TornadoTennisShoes,tennis,95,10%
F430Z7,FlameFootballShinGuards,football,35,none
S530W8,StealthSwimGoggles,swimming,40,none
H630V9,HurricaneCyclingShoes,cycling,120,20%
C730U10,ChampionCricketPads,cricket,90,none
G830T11,GlideGolfTee,golf,5,none
A930S12,AceAthleticTankTop,running,25,none
Y130R13,YogaWheel,yoga,45,none
B140A5,BlazeHybridBike,bike,180,10%
R240X6,RocketSpeedSkates,skates,95,none
T340Y7,ThunderTennisStrings,tennis,20,none
F440Z8,FireFootballSocks,football,15,none
S540W9,SwiftSwimKickboard,swimming,25,none
H640V10,HyperCyclingJacket,cycling,100,15%
C740U11,ChampionCricketBall,cricket,12,none
G840T12,GlideGolfGlove,golf,30,none
A940S13,AceAthleticHeadband,running,10,none
Y140R14,YogaBolster,yoga,35,none
